 Total new objects: 3207143

count   	exec(ms)
--------	--------	------------------------------
.........1	.........0		jalview.jbgui.GAlignFrame$79
.........1	.........0		jalview.jbgui.GAlignFrame$78
.........1	.........0		jalview.jbgui.GAlignFrame$77
.........1	.........0		jalview.jbgui.GAlignFrame$76
.........1	.........0		jalview.jbgui.GAlignFrame$75
.........1	.........0		jalview.jbgui.GAlignFrame$74
.........1	.........0		jalview.jbgui.GAlignFrame$73
.........1	.........0		jalview.jbgui.GAlignFrame$71
.........1	.........0		jalview.jbgui.GAlignFrame$70
.........1	.........0		jalview.jbgui.GAlignFrame$7
.........1	.........0		jalview.jbgui.GAlignFrame$69
.........1	.........0		jalview.jbgui.GAlignFrame$68
.........1	.........0		jalview.jbgui.GAlignFrame$67
.........1	.........0		jalview.jbgui.GAlignFrame$66
.........1	.........0		jalview.jbgui.GAlignFrame$65
.........1	.........0		jalview.jbgui.GAlignFrame$64
.........1	.........0		jalview.jbgui.GAlignFrame$63
.........1	.........0		jalview.jbgui.GAlignFrame$62
.........1	.........0		jalview.jbgui.GAlignFrame$61
.........1	.........0		jalview.jbgui.GAlignFrame$60
.........1	.........0		jalview.jbgui.GAlignFrame$6
.........1	.........0		jalview.jbgui.GAlignFrame$59
.........1	.........0		jalview.jbgui.GAlignFrame$58
.........1	.........0		jalview.jbgui.GAlignFrame$57
.........1	.........0		jalview.jbgui.GAlignFrame$56
.........1	.........0		jalview.jbgui.GAlignFrame$55
.........1	.........0		jalview.jbgui.GAlignFrame$54
.........1	.........0		jalview.jbgui.GAlignFrame$53
.........1	.........0		jalview.jbgui.GAlignFrame$52
.........1	.........0		jalview.jbgui.GAlignFrame$51
.........1	.........0		jalview.jbgui.GAlignFrame$50
.........1	.........0		jalview.jbgui.GAlignFrame$5
.........1	.........0		jalview.jbgui.GAlignFrame$49
.........1	.........0		jalview.jbgui.GAlignFrame$48
.........1	.........0		jalview.jbgui.GAlignFrame$47
.........1	.........0		jalview.jbgui.GAlignFrame$46
.........1	.........0		jalview.jbgui.GAlignFrame$45
.........1	.........0		jalview.jbgui.GAlignFrame$44
.........1	.........0		jalview.jbgui.GAlignFrame$43
.........1	.........0		jalview.jbgui.GAlignFrame$42
.........1	.........0		jalview.jbgui.GAlignFrame$41
.........1	.........0		jalview.jbgui.GAlignFrame$40
.........1	.........0		jalview.jbgui.GAlignFrame$4
.........1	.........0		jalview.jbgui.GAlignFrame$39
.........1	.........0		jalview.jbgui.GAlignFrame$38
.........1	.........0		jalview.jbgui.GAlignFrame$37
.........1	.........0		jalview.jbgui.GAlignFrame$36
.........1	.........0		jalview.jbgui.GAlignFrame$35
.........1	.........0		jalview.jbgui.GAlignFrame$34
.........1	.........0		jalview.jbgui.GAlignFrame$33
.........1	.........0		jalview.jbgui.GAlignFrame$32
.........1	.........0		jalview.jbgui.GAlignFrame$31
.........1	.........0		jalview.jbgui.GAlignFrame$30
.........1	.........0		jalview.jbgui.GAlignFrame$3
.........1	.........0		jalview.jbgui.GAlignFrame$29
.........1	.........0		jalview.jbgui.GAlignFrame$28
.........1	.........0		jalview.jbgui.GAlignFrame$27
.........1	.........0		jalview.jbgui.GAlignFrame$26
.........1	.........0		jalview.jbgui.GAlignFrame$25
.........1	.........0		jalview.jbgui.GAlignFrame$24
.........1	.........0		jalview.jbgui.GAlignFrame$23
